prname,date,reporting_week,reporting_year,totalcases,numtotal_last7,numdeaths,numdeaths_last7,numtotal_last14,numdeaths_last14
British Columbia,01/02/2020,5,2020,1,1,0,0,,
Alberta,01/02/2020,5,2020,0,0,0,0,,
Saskatchewan,01/02/2020,5,2020,0,0,0,0,,
Manitoba,01/02/2020,5,2020,0,0,0,0,,
Ontario,01/02/2020,5,2020,3,3,0,0,,
Quebec,01/02/2020,5,2020,0,0,0,0,,
Newfoundland and Labrador,01/02/2020,5,2020,0,0,0,0,,
New Brunswick,01/02/2020,5,2020,0,0,0,0,,
Nova Scotia,01/02/2020,5,2020,0,0,0,0,,
Prince Edward Island,01/02/2020,5,2020,0,0,0,0,,
Yukon,01/02/2020,5,2020,0,0,0,0,,
Northwest Territories,01/02/2020,5,2020,0,0,0,0,,
Nunavut,01/02/2020,5,2020,0,0,0,0,,
Repatriated travellers,01/02/2020,5,2020,0,0,0,0,,
Canada,01/02/2020,5,2020,4,4,0,0,,
British Columbia,08/02/2020,6,2020,4,3,0,0,4,0
Alberta,08/02/2020,6,2020,0,0,0,0,0,0
Saskatchewan,08/02/2020,6,2020,0,0,0,0,0,0
Manitoba,08/02/2020,6,2020,0,0,0,0,0,0
Ontario,08/02/2020,6,2020,3,0,0,0,3,0
Quebec,08/02/2020,6,2020,0,0,0,0,0,0
Newfoundland and Labrador,08/02/2020,6,2020,0,0,0,0,0,0
New Brunswick,08/02/2020,6,2020,0,0,0,0,0,0
Nova Scotia,08/02/2020,6,2020,0,0,0,0,0,0
Prince Edward Island,08/02/2020,6,2020,0,0,0,0,0,0
Yukon,08/02/2020,6,2020,0,0,0,0,0,0
Northwest Territories,08/02/2020,6,2020,0,0,0,0,0,0
Nunavut,08/02/2020,6,2020,0,0,0,0,0,0
Repatriated travellers,08/02/2020,6,2020,0,0,0,0,0,0
Canada,08/02/2020,6,2020,7,3,0,0,7,0
British Columbia,15/02/2020,7,2020,4,0,0,0,3,0
Alberta,15/02/2020,7,2020,0,0,0,0,0,0
Saskatchewan,15/02/2020,7,2020,0,0,0,0,0,0
Manitoba,15/02/2020,7,2020,0,0,0,0,0,0
Ontario,15/02/2020,7,2020,3,0,0,0,0,0
Quebec,15/02/2020,7,2020,0,0,0,0,0,0
Newfoundland and Labrador,15/02/2020,7,2020,0,0,0,0,0,0
New Brunswick,15/02/2020,7,2020,0,0,0,0,0,0
Nova Scotia,15/02/2020,7,2020,0,0,0,0,0,0
Prince Edward Island,15/02/2020,7,2020,0,0,0,0,0,0
Yukon,15/02/2020,7,2020,0,0,0,0,0,0
Northwest Territories,15/02/2020,7,2020,0,0,0,0,0,0
Nunavut,15/02/2020,7,2020,0,0,0,0,0,0
Repatriated travellers,15/02/2020,7,2020,0,0,0,0,0,0
Canada,15/02/2020,7,2020,7,0,0,0,3,0
British Columbia,22/02/2020,8,2020,6,2,0,0,2,0
Alberta,22/02/2020,8,2020,0,0,0,0,0,0
Saskatchewan,22/02/2020,8,2020,0,0,0,0,0,0
